code,emotion,confidence
char_405_absin_ed_6,neutral,0.2709
char_411_tomimi_1,fear,0.3778
char_411_tomimi_2,fear,0.3773
char_411_tomimi_3,fear,0.3550
char_411_tomimi_4,fear,0.3825
char_411_tomimi_5,fear,0.3800
char_411_tomimi_6,fear,0.3526
char_411_tomimi_7,fear,0.3749
char_415_flint_1,neutral,0.2100
char_415_flint_2,surprise,0.2067
char_415_flint_3,neutral,0.2108
char_415_flint_4,neutral,0.2103
char_415_flint_5,neutral,0.2120
char_415_flint_6,neutral,0.2121
char_416_zumama_1,happy,0.2497
char_416_zumama_2,happy,0.2402
char_416_zumama_3,happy,0.2451
char_416_zumama_4,happy,0.2456
char_416_zumama_5,happy,0.2409
char_416_zumama_6,happy,0.2520
char_436_whispr,neutral,0.2111
char_440_pinecone,surprise,0.2666
char_441_lotus_1#1,sad,0.2252
char_441_lotus_1#2,sad,0.2197
char_441_lotus_1#3,happy,0.2014
char_441_lotus_1#4,sad,0.2308
char_441_lotus_1-1,sad,0.2252
char_441_lotus_1-2,sad,0.2197
char_441_lotus_1-3,happy,0.2014
char_441_lotus_1-4,sad,0.2308
char_451_robin,sad,0.3902
char_451_robin#2,happy,0.2354
char_451_robin#3,happy,0.2268
char_451_robin#4,happy,0.2339
char_451_robin#5,happy,0.2279
char_451_robin#6,happy,0.2315
char_451_robin-2,happy,0.2354
char_451_robin-3,happy,0.2268
char_451_robin-4,happy,0.2339
char_451_robin-5,happy,0.2279
char_451_robin-6,happy,0.2315
char_452_bstalk,neutral,0.3781
char_452_bstalk_2,neutral,0.3254
char_452_bstalk_3,neutral,0.3870
char_452_bstalk_4,neutral,0.3802
char_455_nothing_1#1,angry,0.2527
char_455_nothing_1#2,angry,0.2547
char_455_nothing_1#3,angry,0.2589
char_455_nothing_1#4,angry,0.2544
char_455_nothing_1#5,angry,0.2537
char_455_nothing_1#6,angry,0.2525
char_455_nothing_1-1,angry,0.2527
char_455_nothing_1-2,angry,0.2547
char_455_nothing_1-3,angry,0.2589
char_455_nothing_1-4,angry,0.2544
char_455_nothing_1-5,angry,0.2537
char_455_nothing_1-6,angry,0.2525
char_456_ash_1_1,surprise,0.3233
char_456_ash_1_10,happy,0.2067
char_456_ash_1_2,surprise,0.3235
char_456_ash_1_3,surprise,0.3189
char_456_ash_1_4,surprise,0.3266
char_456_ash_1_5,happy,0.2063
char_456_ash_1_6,happy,0.2064
char_456_ash_1_7,happy,0.2096
char_456_ash_1_8,happy,0.2124
char_456_ash_1_9,surprise,0.3229
char_457_blitz_1_1,neutral,0.2806
char_457_blitz_1_2,neutral,0.2795
char_457_blitz_1_3,neutral,0.2800
char_457_blitz_1_4,sad,0.2265
char_457_blitz_1_5,angry,0.2547
char_457_blitz_1_6,angry,0.2255
char_458_rfrost_1_1,neutral,0.2327
char_458_rfrost_1_2,neutral,0.2265
char_458_rfrost_1_3,neutral,0.3118
char_458_rfrost_1_4,neutral,0.3186
char_459_tachak_1_1,angry,0.2471
char_459_tachak_1_2,angry,0.3023
char_472_pasngr_n_1,fear,0.2879
char_472_pasngr_n_2,fear,0.2899
char_472_pasngr_n_3,fear,0.2876
char_500_noirc_1,neutral,0.3513
char_503_rang,surprise,0.2730
char_503_rang_2,neutral,0.3671
char_empty,angry,0.1830
